web-scraper-order,web-scraper-start-url,course_link,course_link-href,skills,description,title
"1574263267-1363","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=11&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Machine Learning with TensorFlow on Google Cloud Platform en FrançaisGoogle CloudSPECIALIZATION4.3(4)Intermediate LevelIntermediate","https://www.coursera.org/specializations/machine-learning-tensorflow-gcp-fr","[]","","Machine Learning with TensorFlow on Google Cloud Platform in French Specialization"
"1574263320-1376","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=10&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Art and Science of Machine Learning em Português BrasileiroGoogle CloudCOURSE4.6(7)Intermediate LevelIntermediate","https://www.coursera.org/learn/art-science-ml-br","[]","","Art and Science of Machine Learning em Português Brasileiro"
"1574262733-1214","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=26&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Introduction to Recommender Systems:  Non-Personalized and Content-BasedUniversity of MinnesotaCOURSE4.5(454)20kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/recommender-systems-introduction","[{""skills"":""Summary Statistics""},{""skills"":""Term Frequency Inverse Document Frequency (TF-IDF)""},{""skills"":""Microsoft Excel""},{""skills"":""Recommender Systems""}]","","Introduction to Recommender Systems:  Non-Personalized and Content-Based"
"1574262811-1235","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=24&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform em Português BrasileiroGoogle CloudCOURSE4.6(9)Intermediate LevelIntermediate","https://www.coursera.org/learn/leveraging-unstructured-data-dataproc-gcp-br","[]","","Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform em Português Brasileiro"
"1574262737-1215","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=26&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Building AI Applications with Watson APIsIBMCOURSE4.2(118)1.7kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/building-ai-applications","[{""skills"":""Artifical Intelligence""},{""skills"":""Machine Learning""},{""skills"":""Python Programming""},{""skills"":""Watson AI""},{""skills"":""Chatbot""}]","null","Building AI Applications with Watson APIs"
"1574263254-1359","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=12&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Neural Networks and Deep Learningdeeplearning.aiCOURSE4.9(63,916)470kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/neural-networks-deep-learning","[{""skills"":""Artificial Neural Network""},{""skills"":""Backpropagation""},{""skills"":""Python Programming""},{""skills"":""Deep Learning""}]","","Neural Networks and Deep Learning"
"1574263362-1387","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=9&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","How Google does Machine Learning en EspañolGoogle CloudCOURSE4.7(52)Intermediate LevelIntermediate","https://www.coursera.org/learn/google-machine-learning-es","[]","","How Google does Machine Learning en Español"
"1574263409-1400","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=8&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Google Cloud Platform Big Data and Machine Learning Fundamentals en EspañolGoogle CloudCOURSE4.7(199)7.4kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/gcp-big-data-ml-fundamentals-es","[{""skills"":""Big Data""},{""skills"":""Bigquery""},{""skills"":""Machine Learning""},{""skills"":""Google Cloud Platform""}]","","Google Cloud Platform Big Data and Machine Learning Fundamentals en Español"
"1574262590-1176","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=30&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Master of Computer ScienceUniversity of IllinoisDEGREEOffered by University of Illinois at Urbana-Champaign. Deepen your computer science knowledge and accelerate your career with a top ranked computer science program for computing professionals","https://www.coursera.org/degrees/master-of-computer-science-illinois","[]","null","Master of Computer Science"
"1574263007-1290","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=19&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","AI Foundations for EveryoneIBMSPECIALIZATION4.7(1,479)30kstudentsBeginner LevelBeginner","https://www.coursera.org/specializations/ai-foundations-for-everyone","[{""skills"":""Data Science""},{""skills"":""Deep Learning""},{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Machine Learning""},{""skills"":""Watson (Computer)""}]","","AI Foundations for Everyone Specialization"
"1574262958-1275","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=20&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Distributed Computing with Spark SQLUniversity of California, DavisCOURSE4(3)Intermediate LevelIntermediate","https://www.coursera.org/learn/spark-sql","[{""skills"":""Data Science""},{""skills"":""Apache Spark""},{""skills"":""SQL""}]","","Distributed Computing with Spark SQL"
"1574263509-1426","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=5&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Fundamentals of Reinforcement LearningAlberta Machine Intelligence InstituteCOURSE4.8(405)10kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/fundamentals-of-reinforcement-learning","[{""skills"":""Artificial Intelligence (AI)""},{""skills"":""Machine Learning""},{""skills"":""Reinforcement Learning""},{""skills"":""Function Approximation""},{""skills"":""Intelligent Systems""}]","","Fundamentals of Reinforcement Learning"
"1574263293-1370","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=11&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Launching into Machine Learning en FrançaisGoogle CloudCOURSE4.5(2)Intermediate LevelIntermediate","https://www.coursera.org/learn/launching-machine-learning-fr","[]","","Launching into Machine Learning in French"
"1574263127-1323","https://www.coursera.org/search?query=machine%20learning&indices%5Bprod_all_products_term_optimization%5D%5Bpage%5D=15&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BclickAnalytics%5D=true&indices%5Bprod_all_products_term_optimization%5D%5Bconfigure%5D%5BhitsPerPage%5D=10&configure%5BclickAnalytics%5D=true","Data Science in Stratified Healthcare and Precision MedicineThe University of EdinburghCOURSE4.6(86)5.2kstudentsIntermediate LevelIntermediate","https://www.coursera.org/learn/datascimed","[{""skills"":""Data Science""},{""skills"":""Python Programming""},{""skills"":""Machine Learning""},{""skills"":""Image Analysis""}]","","Data Science in Stratified Healthcare and Precision Medicine"
